title,author,length
Not All Diamonds and Rosé,Dave Quinn,Length: 20 hrs and 30 mins
Defiance of the Fall 4: A LitRPG Adventure,"TheFirstDefier,JF Brink",Length: 22 hrs and 47 mins
The Book of Baraka,"Ras Baraka,Jelani Cobb",Length: 1 hr and 44 mins
The Great Reset,"Glenn Beck,Justin Trask Haskins",Length: 9 hrs and 57 mins
Fairy Tale,Stephen King,Length: 24 hrs
The Chosen Ones,From Hell,Length: 11 hrs and 49 mins
The Paris Apartment,Lucy Foley,Length: 12 hrs and 25 mins
"Solo Leveling, Vol. 3 (Novel)",Chugong,Length: 8 hrs and 7 mins
Happy Days,Gabrielle Bernstein,Length: 6 hrs and 11 mins
Nothing to Lose,J. A. Jance,Length: 9 hrs and 27 mins
He Who Fights with Monsters 5,"Shirtaloon,Travis Deverell",Length: 20 hrs and 47 mins
The Silent Sisters,Robert Dugoni,Length: 10 hrs
Find Your People,Jennie Allen,Length: 5 hrs and 45 mins
Remains,"Jason Anspach,Nick Cole",Length: 11 hrs and 52 mins
Blaze,Helen Hardt,Length: 7 hrs and 13 mins
The Reunion,Meghan Quinn,Length: 12 hrs and 18 mins
Court,Tracy Wolff,Length: 24 hrs and 22 mins
Sell Without Selling Out,Andy Paul,Length: 3 hrs and 3 mins
Nautical Noobs,Ryan Rimmel,Length: 17 hrs and 17 mins
Infamous Like Us,"Krista Ritchie,Becca Ritchie",Length: 16 hrs
